ID,cluster
22390,0
22417,1
22439,0
22443,0
22460,0
22485,0
22504,1
22508,0
22512,0
22527,1
22537,1
22552,0
22561,0
22596,1
22623,1
22637,0
22670,1
22679,1
22696,0
22728,0
22756,1
22819,0
22856,1
22866,0
22874,0
22877,0
22878,0
22880,0
22899,0
22920,0
22937,0
22945,0
22957,0
23000,0
23010,3
23014,0
23139,0
23167,0
23181,0
23194,0
23266,1
23270,1
23295,0
23298,0
23309,1
23317,0
23332,0
23363,0
23385,1
23407,1
23451,0
23453,1
23455,0
23464,0
23465,0
23483,0
23496,1
23499,3
23517,0
23539,1
23550,1
23568,2
23599,0
23600,0
23604,1
23638,0
23646,1
23664,1
23685,0
23688,1
23706,0
23708,1
23709,0
23711,0
23743,0
23770,1
23820,0
23836,1
23850,0
23872,1
23951,0
23959,3
23966,0
23975,0
23989,0
23997,1
24004,0
24030,0
24033,0
24036,0
24052,1
24057,0
24059,0
24076,0
24097,0
24125,1
24136,3
24139,1
24152,1
24161,0
24169,0
24182,0
24202,0
24270,0
24276,1
24338,0
24345,0
24354,0
24358,0
24379,0
24386,0
24403,0
24406,1
24429,0
24431,3
24469,0
24486,3
24501,1
24513,1
24519,0
24536,1
24546,0
24547,1
24562,0
24607,0
24615,1
24618,0
24666,0
24667,0
24698,0
24706,1
24707,0
24738,0
24773,0
24779,1
24780,1
24791,0
24833,0
24835,3
24850,0
24866,0
24889,0
24890,0
24912,1
24940,0
24941,0
24942,0
24943,1
24953,1
24978,0
24990,0
24999,0
25003,1
25037,0
25057,0
25111,0
25112,0
25140,0
25181,1
25221,0
25291,1
25311,0
25324,3
25356,0
25372,1
25424,0
25449,1
25476,0
25526,2
25530,1
25543,0
25555,3
25570,0
25598,1
25609,0
25616,0
25641,0
25662,0
25685,0
25694,0
25707,0
25708,0
25712,3
25753,0
25756,0
25762,0
25780,0
25787,1
25819,0
25823,1
25827,0
25841,0
25865,0
25866,0
25872,0
25883,0
25894,1
25902,0
25912,0
25936,0
25959,0
25993,0
26000,1
26017,1
26056,0
26080,1
26109,1
26146,1
26149,0
26168,0
26187,1
26193,0
26224,0
26248,0
26260,1
26266,0
26280,0
26289,1
26290,0
26293,0
26307,0
26324,1
26416,0
26427,0
26436,0
26458,0
26462,3
26479,0
26482,0
26483,0
26498,0
26503,1
26504,1
26534,0
26554,1
26605,1
26623,0
26635,1
26642,1
26685,0
26686,3
26713,1
26748,0
26770,1
26793,1
26816,0
26824,0
26887,0
26892,0
26905,0
26912,0
26943,0
26979,0
26986,1
26990,3
27002,1
27003,0
27039,0
27057,1
27059,0
27078,0
27079,1
27103,1
27146,3
27156,0
27159,0
27175,1
27187,1
27206,1
27215,1
27223,1
27230,0
27237,1
27240,1
27254,1
27276,3
27327,1
27363,0
27370,0
27383,0
27408,1
27416,0
27418,0
27431,0
27450,0
27454,0
27474,0
27513,1
27517,0
27526,0
27531,0
27533,1
27539,1
27546,0
27573,1
27584,1
27599,0
27638,0
27657,0
27660,3
27708,0
27793,1
27797,0
27847,0
27881,1
27901,1
27903,1
27918,0
27924,1
27929,0
27936,0
27942,0
27959,0
27971,0
27989,0
28009,0
28022,1
28023,0
28034,0
28054,0
28057,1
28114,0
28128,0
28136,0
28151,0
28178,0
28183,1
28195,1
28196,0
28217,0
28218,1
28220,1
28229,1
28231,0
28240,1
28256,0
28264,0
28281,0
28295,0
28300,1
28301,0
28341,0
28357,1
28366,0
28376,0
28400,0
28401,0
28406,0
28412,3
28413,0
28424,0
28428,1
28459,0
28469,1
28471,0
28473,0
28478,1
28496,0
28511,0
28515,3
28523,3
28538,0
28549,0
28560,0
28577,0
